,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,36,18,18,27,8,1,80,20,60,89
1,2,Man City,35,17,18,24,6,5,82,25,57,78
2,3,Spurs,36,18,18,23,3,10,65,41,24,72
4,4,Man Utd,35,18,17,20,8,7,67,46,21,68
3,5,Arsenal,35,17,18,20,6,9,69,44,25,66
5,6,Chelsea,35,17,18,19,8,8,62,41,21,65
6,7,Wolves,36,18,18,16,8,12,47,41,6,56
7,8,Watford,36,18,18,15,9,12,51,49,2,54
10,9,Everton,36,18,18,13,10,13,47,44,3,49
11,10,Bournemouth,36,18,18,14,6,16,57,65,-8,48
9,11,Leicester,35,18,17,13,7,15,47,50,-3,46
8,12,West Ham,36,18,18,12,7,17,44,56,-12,43
12,13,Newcastle,36,18,18,10,10,16,36,50,-14,40
13,14,Crystal Palace,36,18,18,10,9,17,40,47,-7,39
14,15,Brighton,36,18,18,10,7,19,39,54,-15,37
16,16,Burnley,35,18,17,10,7,18,45,69,-24,37
15,17,Southampton,36,18,18,8,11,17,42,61,-19,35
17,18,Cardiff,36,18,18,9,7,20,34,67,-33,34
18,19,Fulham,36,18,18,5,8,23,34,75,-41,23
19,20,Huddersfield,36,18,18,4,5,27,22,65,-43,17
