,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,35,17,18,28,2,5,89,24,65,86
0,2,Liverpool,36,18,18,24,10,2,74,21,53,82
2,3,Spurs,35,18,17,23,2,10,66,37,29,71
4,4,Man Utd,35,18,17,20,8,7,73,49,24,68
3,5,Arsenal,35,17,18,19,7,9,70,47,23,64
5,6,Chelsea,35,17,18,19,7,9,52,35,17,64
7,7,Watford,35,18,17,15,8,12,56,50,6,53
9,8,Leicester,35,18,17,16,5,14,49,46,3,53
6,9,Wolves,35,17,18,13,10,12,46,45,1,49
8,10,West Ham,35,17,18,13,8,14,46,51,-5,47
10,11,Everton,35,17,18,12,9,14,49,52,-3,45
12,12,Newcastle,35,17,18,11,9,15,35,42,-7,42
11,13,Bournemouth,35,17,18,12,5,18,47,63,-16,41
17,14,Cardiff,35,17,18,12,5,18,32,58,-26,41
14,15,Brighton,35,18,17,10,8,17,37,51,-14,38
16,16,Burnley,35,18,17,10,6,19,38,62,-24,36
15,17,Southampton,35,18,17,8,11,16,41,58,-17,35
13,18,Crystal Palace,35,18,17,9,6,20,39,54,-15,33
19,19,Huddersfield,36,18,18,4,6,26,23,64,-41,18
18,20,Fulham,35,18,17,4,6,25,32,85,-53,18
