,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,27,9,2,87,29,58,90
1,2,Man City,38,19,19,28,5,5,90,29,61,89
2,3,Spurs,38,19,19,24,4,10,74,42,32,76
4,4,Man Utd,38,19,19,20,10,8,71,50,21,72
5,5,Chelsea,38,19,19,20,9,9,66,49,17,70
3,6,Arsenal,38,19,19,19,10,9,75,52,23,68
6,7,Wolves,38,19,19,13,13,12,50,47,3,65
7,8,Watford,38,19,19,18,8,12,58,52,6,63
11,9,Bournemouth,38,19,19,15,8,15,58,65,-7,55
10,10,Everton,38,19,19,14,9,15,54,50,4,52
9,11,Leicester,38,19,19,15,6,17,48,49,-1,52
13,12,Crystal Palace,38,19,19,11,10,17,45,51,-6,45
15,13,Southampton,38,19,19,10,12,16,48,59,-11,45
8,14,West Ham,38,19,19,12,7,19,44,63,-19,44
12,15,Newcastle,38,19,19,10,10,18,36,54,-18,43
14,16,Brighton,38,19,19,10,12,16,43,55,-12,42
16,17,Burnley,38,19,19,10,8,20,47,72,-25,38
17,18,Cardiff,38,19,19,11,4,23,40,71,-31,37
18,19,Fulham,38,19,19,5,6,27,39,89,-50,21
19,20,Huddersfield,38,19,19,4,8,26,23,68,-45,20
