,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,33,17,16,25,7,1,74,18,56,82
1,2,Man City,32,15,17,24,2,6,80,24,56,74
3,3,Arsenal,33,16,17,19,7,7,68,43,25,64
2,4,Spurs,33,17,16,21,1,11,61,38,23,64
5,5,Chelsea,33,16,17,19,6,8,55,36,19,63
4,6,Man Utd,32,17,15,18,7,7,62,45,17,61
6,7,Wolves,33,16,17,14,8,11,43,40,3,50
9,8,Leicester,34,17,17,15,5,14,44,43,1,50
10,9,Everton,33,16,17,13,7,13,47,43,4,46
7,10,Watford,33,17,16,13,7,13,46,48,-2,46
8,11,West Ham,33,16,17,13,6,14,44,50,-6,45
13,12,Crystal Palace,33,17,16,12,6,15,44,46,-2,42
11,13,Bournemouth,33,16,17,12,5,16,44,58,-14,41
14,14,Brighton,33,17,16,10,7,16,41,49,-8,37
12,15,Newcastle,34,17,17,9,9,16,35,46,-11,36
15,16,Southampton,33,17,16,8,9,16,37,58,-21,33
17,17,Cardiff,33,16,17,9,5,19,31,61,-30,32
16,18,Burnley,33,17,16,8,6,19,35,61,-26,30
18,19,Fulham,33,17,16,5,5,23,30,73,-43,20
19,20,Huddersfield,33,16,17,3,5,25,19,60,-41,14
