,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,30,3,5,96,32,64,93
0,2,Liverpool,37,19,18,25,10,2,78,25,53,85
2,3,Spurs,37,19,18,24,2,11,71,39,32,74
5,4,Chelsea,38,19,19,22,7,9,63,39,24,74
4,5,Man Utd,37,19,18,19,10,8,70,49,21,69
6,6,Wolves,37,18,19,15,9,13,44,42,2,67
3,7,Arsenal,38,19,19,19,7,12,69,52,17,65
9,8,Leicester,38,19,19,16,7,15,54,50,4,56
7,9,Watford,37,19,18,15,7,15,50,51,-1,53
8,10,West Ham,37,18,19,13,9,15,46,52,-6,49
10,11,Everton,37,18,19,13,8,16,51,50,1,48
12,12,Newcastle,38,19,19,11,11,16,36,47,-11,47
11,13,Bournemouth,38,19,19,13,6,19,53,67,-14,47
13,14,Crystal Palace,38,19,19,12,8,18,49,53,-4,46
14,15,Brighton,38,19,19,13,7,18,45,57,-12,46
15,16,Southampton,37,19,18,10,12,15,41,56,-15,45
16,17,Burnley,38,19,19,13,6,19,52,69,-17,45
17,18,Cardiff,37,18,19,8,6,23,36,82,-46,30
18,19,Fulham,38,19,19,7,6,25,35,78,-43,27
19,20,Huddersfield,37,18,19,4,5,28,22,71,-49,17
