,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,36,18,18,27,8,1,83,26,57,89
1,2,Man City,36,18,18,27,3,6,89,28,61,84
5,3,Chelsea,36,18,18,20,8,8,60,39,21,69
4,4,Man Utd,36,18,18,19,10,7,69,48,21,69
3,5,Arsenal,35,17,18,19,9,7,70,46,24,67
2,6,Spurs,36,18,18,21,3,12,68,44,24,66
6,7,Wolves,36,18,18,13,10,13,45,44,1,62
7,8,Watford,36,18,18,15,9,12,50,48,2,55
8,9,West Ham,36,18,18,14,8,14,51,55,-4,51
10,10,Everton,36,18,18,14,7,15,50,48,2,50
9,11,Leicester,35,18,17,14,6,15,46,47,-1,49
14,12,Brighton,36,18,18,14,6,16,43,49,-6,48
11,13,Bournemouth,36,18,18,13,5,18,49,64,-15,46
12,14,Newcastle,36,18,18,10,9,17,38,47,-9,42
13,15,Crystal Palace,36,18,18,10,7,19,40,51,-11,39
15,16,Southampton,36,18,18,9,9,18,40,61,-21,39
16,17,Burnley,36,18,18,10,6,20,39,65,-26,36
17,18,Cardiff,36,18,18,9,6,21,31,66,-35,33
19,19,Huddersfield,36,18,18,6,5,25,22,63,-41,23
18,20,Fulham,36,18,18,5,6,25,33,77,-44,21
