,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,38,19,19,28,9,1,85,21,64,93
1,2,Man City,38,19,19,26,8,4,98,31,67,86
3,3,Arsenal,38,19,19,23,8,7,72,44,28,77
2,4,Spurs,38,19,19,23,4,11,70,43,27,73
4,5,Man Utd,38,19,19,21,9,8,78,52,26,72
5,6,Chelsea,38,19,19,21,9,8,70,45,25,72
6,7,Wolves,38,19,19,17,10,11,52,44,8,61
7,8,Watford,38,19,19,14,11,13,51,52,-1,53
8,9,West Ham,38,19,19,14,8,16,50,60,-10,50
11,10,Bournemouth,38,19,19,15,5,18,57,69,-12,50
13,11,Crystal Palace,38,19,19,13,8,17,50,50,0,47
10,12,Everton,38,19,19,13,8,17,50,54,-4,47
9,13,Leicester,38,19,19,13,7,18,47,54,-7,46
12,14,Newcastle,38,19,19,12,10,16,36,45,-9,46
14,15,Brighton,38,19,19,11,8,19,38,53,-15,41
15,16,Southampton,38,19,19,9,12,17,44,64,-20,39
16,17,Burnley,38,19,19,10,7,21,43,73,-30,37
17,18,Cardiff,38,19,19,9,6,23,35,72,-37,33
18,19,Fulham,38,19,19,6,5,27,38,83,-45,23
19,20,Huddersfield,38,19,19,3,6,29,22,77,-55,15
