,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,33,17,16,25,7,1,76,18,58,82
1,2,Man City,33,16,17,25,3,5,81,23,58,78
2,3,Spurs,34,17,17,22,2,10,66,36,30,68
6,4,Wolves,34,17,17,15,8,11,45,40,5,66
3,5,Arsenal,33,16,17,19,6,8,67,44,23,64
4,6,Man Utd,33,17,16,18,8,7,61,44,17,64
5,7,Chelsea,33,16,17,17,8,8,53,37,16,60
7,8,Watford,33,17,16,14,8,11,48,45,3,51
10,9,Everton,34,17,17,13,8,13,46,43,3,48
14,10,Brighton,34,17,17,13,7,14,41,44,-3,46
11,11,Bournemouth,34,17,17,13,5,16,49,60,-11,46
8,12,West Ham,34,17,17,12,8,14,45,51,-6,45
12,13,Newcastle,34,17,17,11,9,14,34,40,-6,45
9,14,Leicester,34,17,17,12,7,15,42,47,-5,44
13,15,Crystal Palace,34,17,17,11,6,17,38,44,-6,41
15,16,Southampton,34,17,17,7,9,18,34,60,-26,33
17,17,Cardiff,34,17,17,9,6,19,30,61,-31,33
16,18,Burnley,34,17,17,8,6,20,36,64,-28,30
18,19,Fulham,34,17,17,4,5,25,30,75,-45,17
19,20,Huddersfield,34,17,17,3,6,25,21,67,-46,15
