,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,29,3,6,95,27,68,90
0,2,Liverpool,38,19,19,26,9,3,81,24,57,87
2,3,Spurs,37,19,18,24,3,10,67,39,28,75
3,4,Arsenal,38,19,19,22,7,9,81,55,26,73
5,5,Chelsea,38,19,19,21,9,8,61,41,20,72
4,6,Man Utd,38,19,19,20,9,9,75,49,26,69
6,7,Wolves,38,19,19,15,8,15,47,46,1,53
9,8,Leicester,38,19,19,15,7,16,52,53,-1,52
8,9,West Ham,37,18,19,15,7,15,51,55,-4,52
7,10,Watford,37,19,18,14,9,14,48,52,-4,51
12,11,Newcastle,38,19,19,13,9,16,42,49,-7,48
13,12,Crystal Palace,38,19,19,13,7,18,52,49,3,46
10,13,Everton,37,18,19,12,7,18,49,58,-9,43
14,14,Brighton,38,19,19,12,7,19,41,55,-14,43
11,15,Bournemouth,38,19,19,12,7,19,53,71,-18,43
15,16,Southampton,37,19,18,11,9,17,46,61,-15,42
16,17,Burnley,38,19,19,11,7,20,47,74,-27,40
17,18,Cardiff,38,19,19,11,5,22,37,75,-38,38
18,19,Fulham,38,19,19,7,7,24,43,78,-35,28
19,20,Huddersfield,37,18,19,3,6,28,21,78,-57,15
