,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,35,17,18,27,3,5,89,25,64,84
0,2,Liverpool,36,18,18,25,7,4,76,26,50,82
3,3,Arsenal,35,17,18,21,7,7,77,45,32,70
4,4,Man Utd,35,18,17,21,7,7,66,43,23,70
5,5,Chelsea,35,17,18,21,6,8,66,37,29,69
2,6,Spurs,36,18,18,21,2,13,62,41,21,65
6,7,Wolves,35,17,18,15,10,10,48,40,8,55
7,8,Watford,35,18,17,14,8,13,47,49,-2,50
8,9,West Ham,36,18,18,14,6,16,45,56,-11,48
9,10,Leicester,35,18,17,12,8,15,43,47,-4,44
10,11,Everton,36,18,18,12,7,17,47,51,-4,43
13,12,Crystal Palace,36,18,18,12,6,18,47,55,-8,42
14,13,Brighton,35,18,17,11,7,17,42,56,-14,40
11,14,Bournemouth,35,17,18,11,7,17,46,63,-17,40
12,15,Newcastle,35,17,18,10,9,16,38,49,-11,39
16,16,Burnley,35,18,17,11,6,18,42,63,-21,39
15,17,Southampton,35,18,17,9,11,15,45,59,-14,38
17,18,Cardiff,36,18,18,9,5,22,34,75,-41,32
18,19,Fulham,36,18,18,6,6,24,33,75,-42,24
19,20,Huddersfield,36,18,18,5,6,25,24,62,-38,21
