,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,29,4,5,96,28,68,91
0,2,Liverpool,37,19,18,25,7,5,76,28,48,82
3,3,Arsenal,37,18,19,22,8,7,81,47,34,74
4,4,Man Utd,37,19,18,22,7,8,67,44,23,73
5,5,Chelsea,37,18,19,21,6,10,66,40,26,69
2,6,Spurs,37,19,18,21,2,14,62,42,20,65
6,7,Wolves,37,18,19,15,11,11,49,43,6,56
7,8,Watford,37,19,18,15,9,13,50,50,0,54
8,9,West Ham,37,18,19,15,6,16,48,57,-9,51
9,10,Leicester,37,19,18,12,9,16,47,52,-5,45
13,11,Crystal Palace,37,19,18,13,6,18,50,55,-5,45
10,12,Everton,37,18,19,12,8,17,47,51,-4,44
14,13,Brighton,38,19,19,12,7,19,44,61,-17,43
11,14,Bournemouth,37,18,19,12,7,18,47,66,-19,43
12,15,Newcastle,37,18,19,11,9,17,40,51,-11,42
15,16,Southampton,37,19,18,10,11,16,49,62,-13,41
16,17,Burnley,37,19,18,11,8,18,43,64,-21,41
17,18,Cardiff,37,18,19,9,5,23,34,78,-44,32
18,19,Fulham,37,19,18,7,6,24,35,75,-40,27
19,20,Huddersfield,37,18,19,6,6,25,25,62,-37,24
