,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,34,17,17,25,8,1,77,21,56,83
1,2,Man City,34,16,18,25,5,4,84,25,59,80
2,3,Spurs,35,18,17,20,5,10,62,39,23,65
4,4,Man Utd,33,17,16,19,8,6,63,43,20,65
5,5,Chelsea,34,17,17,19,7,8,54,36,18,64
3,6,Arsenal,34,17,17,18,7,9,68,47,21,61
6,7,Wolves,34,17,17,15,9,10,45,39,6,54
7,8,Watford,34,17,17,14,7,13,47,47,0,49
9,9,Leicester,34,17,17,12,7,15,45,49,-4,43
8,10,West Ham,34,17,17,12,7,15,43,50,-7,43
10,11,Everton,34,17,17,11,9,14,47,48,-1,42
12,12,Newcastle,34,17,17,10,10,14,36,44,-8,40
11,13,Bournemouth,34,17,17,11,7,16,47,61,-14,40
14,14,Brighton,34,17,17,10,9,15,38,46,-8,39
13,15,Crystal Palace,34,17,17,9,8,17,39,47,-8,35
15,16,Southampton,34,17,17,8,10,16,36,55,-19,34
16,17,Burnley,34,17,17,9,6,19,41,67,-26,33
17,18,Cardiff,34,17,17,9,6,19,31,63,-32,33
19,19,Huddersfield,34,17,17,6,5,23,27,61,-34,23
18,20,Fulham,34,17,17,5,6,23,33,75,-42,21
