,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
0,1,Liverpool,33,17,16,25,7,1,76,21,55,82
1,2,Man City,32,15,17,26,2,4,81,21,60,80
6,3,Wolves,33,16,17,15,8,10,47,36,11,66
3,4,Arsenal,32,15,17,19,6,7,67,44,23,64
4,5,Man Utd,32,17,15,18,7,7,60,42,18,63
2,6,Spurs,32,17,15,20,1,11,59,37,22,61
5,7,Chelsea,32,16,16,18,6,8,53,36,17,61
8,8,West Ham,32,15,17,13,6,13,43,46,-3,46
9,9,Leicester,32,16,16,13,5,14,43,43,0,45
7,10,Watford,32,17,15,12,7,13,44,49,-5,44
11,11,Bournemouth,33,16,17,12,5,16,47,59,-12,43
10,12,Everton,32,16,16,11,7,14,43,44,-1,41
14,13,Brighton,32,16,16,11,6,15,37,45,-8,39
15,14,Southampton,33,17,16,9,9,15,40,55,-15,39
13,15,Crystal Palace,32,16,16,10,6,16,38,42,-4,38
12,16,Newcastle,32,16,16,9,8,15,32,44,-12,38
16,17,Burnley,33,17,16,8,6,19,35,67,-32,30
17,18,Cardiff,33,16,17,8,4,21,30,64,-34,28
19,19,Huddersfield,32,16,16,4,5,23,19,57,-38,17
18,20,Fulham,32,16,16,4,5,23,29,71,-42,17
