,Position,Club,Matches,Away Matches,Home Matches,Wins,Draws,Losses,GF,GA,GD,Pts
1,1,Man City,38,19,19,29,5,4,96,26,70,92
0,2,Liverpool,38,19,19,26,8,4,82,27,55,86
3,3,Arsenal,38,19,19,21,8,9,75,51,24,72
4,4,Man Utd,38,19,19,19,11,8,69,51,18,70
2,5,Spurs,38,19,19,22,2,14,68,47,21,68
5,6,Chelsea,38,19,19,20,7,11,60,42,18,68
6,7,Wolves,38,19,19,14,10,14,48,45,3,65
7,8,Watford,38,19,19,17,8,13,52,54,-2,60
11,9,Bournemouth,38,19,19,15,6,17,50,62,-12,53
8,10,West Ham,38,19,19,14,8,16,48,57,-9,51
9,11,Leicester,38,19,19,14,7,17,47,52,-5,50
10,12,Everton,38,19,19,13,8,17,54,55,-1,48
15,13,Southampton,38,19,19,11,11,16,49,61,-12,47
14,14,Brighton,38,19,19,12,10,16,40,55,-15,46
13,15,Crystal Palace,38,19,19,12,7,19,48,53,-5,45
12,16,Newcastle,38,19,19,10,12,16,40,51,-11,45
16,17,Burnley,38,19,19,9,9,20,45,71,-26,36
17,18,Cardiff,38,19,19,9,7,22,39,72,-33,34
19,19,Huddersfield,38,19,19,7,7,24,29,67,-38,28
18,20,Fulham,38,19,19,7,7,24,36,76,-40,28
